,CreditScore,Geography,Gender,Age,Balance,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
43,707.0,S0,Male,45.0,129731.85,5.0,2.0,0.0,1.0,137319.08,0
44,656.0,S0,Male,37.0,62397.41,3.0,2.0,0.0,1.0,112953.09,0
45,647.0,S2,Female,50.0,62397.41,3.0,2.0,1.0,1.0,101051.75,0
46,589.0,S0,Female,47.0,62397.41,6.0,2.0,1.0,1.0,69171.21,0
47,600.0,S0,Female,34.0,62397.41,4.0,2.0,0.0,1.0,110919.12,0
48,692.0,S0,Female,38.0,62397.41,5.0,2.0,1.0,0.0,98136.74,0
49,495.0,S0,Female,58.0,99558.71,5.0,1.0,1.0,0.0,126314.75,1
50,557.0,S0,Male,36.0,119991.5,4.0,1.0,0.0,0.0,89628.9,0
51,496.0,S0,Male,60.0,143308.62,5.0,1.0,1.0,1.0,128893.77,0
52,593.0,S1,Female,44.0,121524.88,3.0,2.0,0.0,0.0,96686.59,0
53,612.0,S2,Male,45.0,123459.22,6.0,1.0,1.0,1.0,69963.58,0
54,567.0,S0,Male,37.0,62397.41,5.0,2.0,1.0,1.0,65364.74,0
55,645.0,S0,Female,34.0,102175.95,4.0,1.0,0.0,1.0,79075.17,0
56,673.0,S0,Male,39.0,62397.41,6.0,2.0,1.0,1.0,118250.8,0
57,566.0,S2,Female,41.0,105451.25,5.0,1.0,0.0,0.0,114776.26,0
58,602.0,S0,Female,39.0,62397.41,5.0,2.0,1.0,0.0,139520.43,0
59,607.0,S1,Female,57.0,137608.37,3.0,1.0,1.0,1.0,106442.29,0
60,527.0,S0,Male,42.0,138946.38,6.0,2.0,1.0,1.0,131899.1,0
61,628.0,S2,Male,38.0,103087.69,6.0,1.0,1.0,1.0,112147.66,0
62,664.0,S0,Female,51.0,101131.31,4.0,2.0,0.0,1.0,119186.63,0
63,695.0,S1,Male,44.0,124941.64,3.0,2.0,0.0,1.0,77524.2,0
64,623.0,S0,Female,42.0,103385.53,4.0,2.0,0.0,1.0,108062.41,0
65,604.0,S2,Female,55.0,62397.41,5.0,2.0,0.0,1.0,122861.99,0
66,695.0,S0,Female,38.0,62397.41,4.0,2.0,1.0,0.0,119985.75,0
67,691.0,S1,Female,47.0,98332.74,2.0,2.0,0.0,0.0,121703.62,0
68,647.0,S0,Female,44.0,62397.41,6.0,1.0,0.0,0.0,63108.06,0
69,591.0,S2,Male,39.0,146882.73,5.0,1.0,0.0,0.0,66038.86,0
70,580.0,S0,Female,47.0,62397.41,4.0,2.0,0.0,0.0,114613.45,0
71,631.0,S2,Male,37.0,129175.15,3.0,1.0,0.0,0.0,124665.05,0
72,665.0,S0,Female,55.0,62397.41,3.0,2.0,0.0,1.0,80632.48,0
73,649.0,S0,Male,49.0,111162.01,6.0,1.0,1.0,1.0,58438.26,0
74,670.0,S2,Male,45.0,62397.41,5.0,2.0,1.0,1.0,112213.49,0
75,569.0,S0,Male,31.0,139988.6,5.0,1.0,1.0,1.0,79490.53,0
76,604.0,S0,Male,47.0,124650.18,5.0,1.0,0.0,1.0,105546.0,0
77,648.0,S1,Female,42.0,101286.1,6.0,2.0,0.0,1.0,131810.26,0
78,655.0,S0,Female,41.0,117925.73,5.0,1.0,0.0,0.0,92053.4,0
79,618.0,S2,Female,37.0,62397.41,3.0,2.0,1.0,1.0,129656.17,0
80,685.0,S2,Female,37.0,62397.41,6.0,2.0,0.0,0.0,94332.73,0
81,628.0,S1,Female,36.0,115652.42,4.0,1.0,1.0,0.0,64089.82,0
82,664.0,S0,Female,43.0,137476.75,5.0,2.0,1.0,0.0,98333.9,0
83,517.0,S0,Female,41.0,122479.19,5.0,1.0,0.0,1.0,91760.96,0
84,640.0,S0,Male,37.0,117586.38,5.0,1.0,0.0,1.0,127031.86,0
85,589.0,S0,Male,41.0,62397.41,6.0,2.0,0.0,1.0,59884.19,0
86,634.0,S2,Male,41.0,62397.41,6.0,2.0,0.0,1.0,110140.59,0
87,563.0,S0,Female,38.0,62397.41,4.0,1.0,1.0,1.0,106353.13,0
88,577.0,S2,Male,42.0,112784.91,6.0,1.0,1.0,1.0,119558.05,0
89,699.0,S0,Male,53.0,113924.92,3.0,1.0,1.0,1.0,129822.99,0
90,619.0,S1,Female,36.0,111081.74,3.0,2.0,1.0,1.0,70947.77,0
91,647.0,S1,Female,43.0,118294.22,2.0,2.0,1.0,1.0,120214.32,0
92,600.0,S1,Male,40.0,98360.9,6.0,1.0,1.0,0.0,132877.19,0
93,595.0,S2,Male,38.0,142079.51,7.0,1.0,1.0,0.0,128401.97,0
94,600.0,S0,Male,44.0,111968.15,7.0,2.0,0.0,0.0,90645.21,0
95,621.0,S0,Female,57.0,62397.41,3.0,1.0,1.0,1.0,82543.25,1
96,577.0,S0,Male,37.0,62397.41,4.0,2.0,1.0,0.0,80254.61,0
97,567.0,S0,Male,60.0,126599.87,7.0,2.0,1.0,1.0,93693.57,0
98,593.0,S2,Male,42.0,62397.41,3.0,2.0,0.0,0.0,114248.6,0
99,687.0,S0,Female,33.0,128799.97,4.0,2.0,1.0,0.0,112718.12,0
100,659.0,S1,Female,68.0,116714.89,4.0,2.0,1.0,1.0,64503.98,0
101,712.0,S0,Male,37.0,62397.41,5.0,2.0,1.0,1.0,118356.14,0
102,659.0,S0,Female,33.0,62397.41,3.0,2.0,0.0,0.0,94819.53,0
103,530.0,S2,Male,47.0,93404.0,5.0,1.0,1.0,1.0,80071.06,0
104,633.0,S1,Male,42.0,123384.93,6.0,1.0,1.0,1.0,134090.95,0
105,631.0,S2,Female,47.0,130713.41,7.0,1.0,1.0,0.0,65475.62,0
106,728.0,S1,Male,44.0,102458.37,3.0,2.0,1.0,0.0,127902.55,0
107,642.0,S0,Female,47.0,86464.73,5.0,1.0,1.0,1.0,80603.07,0
108,662.0,S2,Female,40.0,69566.0,6.0,2.0,1.0,0.0,80751.3,0
109,707.0,S2,Male,43.0,114844.23,3.0,1.0,0.0,0.0,91293.24,0
110,668.0,S0,Female,39.0,62397.41,5.0,2.0,1.0,1.0,138528.29,0
111,652.0,S2,Male,46.0,111347.45,4.0,2.0,1.0,0.0,76191.78,0
112,659.0,S0,Female,43.0,138569.19,5.0,1.0,1.0,1.0,76612.14,0
113,681.0,S1,Female,37.0,113890.91,3.0,1.0,1.0,0.0,66675.41,0
114,724.0,S0,Female,44.0,145592.38,5.0,1.0,1.0,0.0,62754.62,0
115,658.0,S0,Male,39.0,138219.17,6.0,1.0,0.0,1.0,61016.47,0
116,593.0,S1,Female,41.0,132941.17,6.0,2.0,1.0,0.0,115435.59,0
117,571.0,S0,Male,44.0,62397.41,4.0,1.0,0.0,1.0,129221.69,0
118,753.0,S1,Female,44.0,114894.67,5.0,1.0,1.0,1.0,57834.88,0
119,600.0,S0,Female,42.0,62397.41,5.0,1.0,0.0,0.0,66315.0,0
120,676.0,S0,Female,35.0,62397.41,5.0,1.0,1.0,0.0,82732.13,0
121,531.0,S1,Male,35.0,102335.1,3.0,2.0,1.0,1.0,128879.09,0
122,603.0,S1,Male,44.0,110292.82,6.0,2.0,0.0,1.0,98720.52,0
123,584.0,S0,Female,39.0,129922.01,4.0,1.0,1.0,0.0,84351.75,0
124,650.0,S1,Male,32.0,91513.37,6.0,2.0,0.0,0.0,80090.74,0
125,753.0,S0,Male,36.0,62397.41,3.0,2.0,0.0,0.0,122516.37,0
126,753.0,S0,Male,40.0,62397.41,3.0,2.0,1.0,1.0,81729.5,0
127,485.0,S1,Male,43.0,128223.8,3.0,2.0,1.0,1.0,125020.76,0
128,489.0,S1,Female,37.0,116868.88,3.0,2.0,1.0,1.0,61725.04,0
129,634.0,S0,Male,39.0,104772.03,3.0,2.0,0.0,0.0,101664.16,0
130,577.0,S2,Female,41.0,134612.3,4.0,2.0,1.0,1.0,84507.75,0
131,668.0,S0,Female,45.0,106547.95,3.0,1.0,0.0,0.0,96697.44,0
132,536.0,S0,Female,44.0,150868.43,3.0,2.0,1.0,0.0,134981.65,0
133,676.0,S1,Male,37.0,131840.83,6.0,1.0,1.0,0.0,63006.27,0
134,698.0,S0,Male,46.0,123671.09,6.0,1.0,1.0,0.0,139643.99,0
135,576.0,S1,Female,50.0,113676.1,3.0,1.0,1.0,0.0,114042.83,1
136,685.0,S0,Male,39.0,127522.77,3.0,1.0,1.0,1.0,109900.1,0
137,592.0,S1,Female,42.0,97710.05,5.0,2.0,1.0,0.0,116828.07,0
138,666.0,S2,Female,40.0,124002.36,6.0,1.0,0.0,0.0,142062.84,0
139,609.0,S2,Male,44.0,126114.69,3.0,1.0,1.0,1.0,81117.56,0
140,626.0,S0,Male,41.0,136863.6,2.0,1.0,0.0,0.0,81238.38,0
141,619.0,S2,Male,48.0,143184.85,6.0,1.0,0.0,1.0,97240.99,0
142,652.0,S0,Male,57.0,115068.94,3.0,1.0,1.0,1.0,123019.61,0
143,661.0,S1,Female,43.0,135049.75,5.0,2.0,1.0,1.0,138094.22,0
144,601.0,S1,Female,46.0,119514.48,3.0,4.0,1.0,0.0,106423.2,1
145,678.0,S2,Male,45.0,62397.41,6.0,2.0,0.0,1.0,75285.34,0
146,630.0,S1,Male,65.0,121129.47,6.0,2.0,0.0,1.0,103028.49,0
147,630.0,S0,Male,48.0,62397.41,5.0,2.0,1.0,1.0,90207.16,0
148,637.0,S0,Male,52.0,136082.99,5.0,1.0,1.0,1.0,86415.59,0
149,530.0,S0,Male,34.0,62397.41,3.0,2.0,1.0,1.0,70856.88,0
150,659.0,S2,Female,42.0,146869.09,5.0,1.0,1.0,0.0,72577.96,0
151,733.0,S0,Female,42.0,103143.97,5.0,2.0,1.0,0.0,91923.21,0
152,632.0,S0,Male,48.0,122487.21,2.0,1.0,1.0,0.0,90760.95,1
153,544.0,S0,Male,62.0,62397.41,3.0,2.0,1.0,1.0,77939.9,0
154,614.0,S2,Male,44.0,133974.82,3.0,1.0,1.0,0.0,69743.62,0
155,641.0,S2,Male,47.0,113907.75,4.0,2.0,1.0,1.0,124803.02,0
156,612.0,S0,Female,36.0,62397.41,4.0,2.0,0.0,1.0,122684.35,0
157,617.0,S0,Female,42.0,62397.41,4.0,2.0,1.0,1.0,78302.34,0
158,518.0,S1,Male,52.0,119953.37,7.0,2.0,1.0,0.0,133047.22,1
159,700.0,S0,Female,32.0,115791.43,5.0,1.0,0.0,0.0,106661.12,0
160,602.0,S0,Male,37.0,130167.79,5.0,1.0,1.0,0.0,139098.86,0
161,657.0,S0,Male,44.0,128069.1,4.0,1.0,1.0,1.0,100816.42,0
162,602.0,S0,Male,39.0,62397.41,5.0,2.0,1.0,1.0,137420.47,0
163,530.0,S0,Female,53.0,107406.34,7.0,1.0,0.0,1.0,95785.42,0
164,668.0,S1,Female,40.0,129549.67,3.0,1.0,1.0,1.0,108747.06,0
165,707.0,S1,Female,42.0,152809.68,5.0,2.0,0.0,0.0,122569.77,0
166,652.0,S0,Female,43.0,118536.47,4.0,1.0,0.0,0.0,115568.94,0
167,563.0,S0,Male,43.0,62397.41,5.0,2.0,1.0,0.0,65938.77,0
168,672.0,S0,Female,54.0,62397.41,5.0,2.0,1.0,1.0,110639.81,0
169,667.0,S0,Male,30.0,117247.45,4.0,2.0,1.0,1.0,81389.77,0
170,698.0,S0,Male,41.0,126549.19,6.0,1.0,1.0,1.0,91955.94,0
171,718.0,S0,Female,44.0,151281.25,5.0,3.0,1.0,0.0,128264.19,1
172,659.0,S0,Female,70.0,62397.41,5.0,2.0,0.0,1.0,137715.27,0
173,638.0,S2,Male,52.0,130902.14,2.0,1.0,1.0,0.0,118946.19,1
174,631.0,S2,Male,32.0,120516.96,4.0,2.0,1.0,0.0,87426.26,0
175,631.0,S0,Female,44.0,81806.7,4.0,1.0,1.0,1.0,102073.03,0
176,610.0,S2,Male,45.0,97633.15,2.0,1.0,1.0,1.0,108850.9,0
177,549.0,S0,Male,44.0,62397.41,3.0,2.0,0.0,1.0,89778.44,0
178,512.0,S0,Female,39.0,126649.52,5.0,1.0,0.0,1.0,83013.16,0
179,590.0,S1,Female,41.0,117506.73,4.0,1.0,1.0,1.0,87358.26,0
180,677.0,S0,Male,37.0,62397.41,6.0,2.0,1.0,1.0,102600.04,0
181,657.0,S1,Male,48.0,115052.29,3.0,1.0,1.0,1.0,84013.72,0
182,695.0,S0,Female,71.0,123316.94,5.0,1.0,1.0,1.0,89812.01,0
183,644.0,S0,Male,62.0,62397.41,2.0,1.0,1.0,1.0,93940.11,0
184,611.0,S0,Female,50.0,135456.44,6.0,1.0,1.0,0.0,73740.46,0
185,589.0,S0,Male,39.0,123982.85,5.0,1.0,1.0,0.0,63273.41,0
186,718.0,S0,Male,39.0,62397.41,2.0,2.0,0.0,0.0,133190.83,0
187,589.0,S1,Female,54.0,120694.28,5.0,1.0,1.0,0.0,81968.39,1
188,646.0,S0,Male,39.0,125032.02,3.0,2.0,0.0,1.0,127049.7,0
189,517.0,S0,Male,36.0,62397.41,5.0,2.0,1.0,1.0,58705.55,0
190,539.0,S0,Female,44.0,62397.41,3.0,2.0,0.0,0.0,117821.9,0
191,645.0,S0,Female,37.0,62397.41,3.0,1.0,1.0,0.0,112302.01,0
192,550.0,S0,Female,36.0,110621.48,6.0,1.0,1.0,0.0,59512.39,0
193,624.0,S0,Female,29.0,62397.41,4.0,2.0,0.0,1.0,90786.73,0
194,609.0,S2,Male,57.0,140686.6,4.0,1.0,1.0,1.0,104366.47,0
195,739.0,S2,Male,48.0,154513.47,3.0,1.0,1.0,1.0,63235.62,0
196,702.0,S0,Female,47.0,139049.71,3.0,1.0,1.0,1.0,115684.21,0
197,514.0,S0,Female,35.0,62397.41,6.0,1.0,1.0,1.0,101424.27,0
198,550.0,S0,Male,39.0,140953.75,4.0,2.0,1.0,1.0,128084.21,0
199,603.0,S2,Female,48.0,62397.41,6.0,2.0,1.0,1.0,135567.91,0
200,652.0,S0,Male,29.0,115030.44,4.0,2.0,1.0,0.0,73954.79,0
201,642.0,S2,Male,40.0,124855.76,3.0,2.0,0.0,1.0,93340.11,0
202,621.0,S0,Female,39.0,62397.41,5.0,2.0,1.0,0.0,109751.13,0
203,626.0,S1,Male,33.0,120269.1,4.0,1.0,1.0,1.0,120435.53,0
204,592.0,S0,Male,42.0,124857.08,3.0,1.0,1.0,0.0,89791.91,0
205,636.0,S2,Male,37.0,104897.92,3.0,1.0,1.0,1.0,116053.43,0
206,695.0,S0,Male,45.0,122669.66,3.0,1.0,1.0,0.0,124161.07,0
207,578.0,S0,Male,39.0,62397.41,5.0,1.0,0.0,0.0,89207.61,0
208,711.0,S0,Male,29.0,125234.96,2.0,2.0,1.0,1.0,103527.96,0
209,628.0,S0,Male,37.0,62397.41,5.0,2.0,1.0,0.0,122758.57,0
210,677.0,S1,Male,48.0,120321.98,4.0,4.0,1.0,0.0,113065.86,1
211,649.0,S2,Male,42.0,112563.39,3.0,2.0,1.0,0.0,67514.28,0
212,638.0,S1,Male,39.0,114402.97,2.0,1.0,1.0,1.0,126639.92,0
213,619.0,S1,Female,39.0,124342.13,4.0,1.0,0.0,0.0,105391.36,0
214,544.0,S0,Male,34.0,62397.41,7.0,2.0,1.0,1.0,60141.74,0
215,620.0,S0,Male,40.0,62397.41,4.0,2.0,1.0,1.0,72917.51,0
216,676.0,S1,Male,54.0,148942.65,6.0,1.0,1.0,1.0,115678.62,0
217,753.0,S0,Male,44.0,130961.53,4.0,1.0,0.0,1.0,82091.72,0
218,717.0,S0,Male,37.0,62397.41,6.0,2.0,1.0,0.0,142334.02,0
219,726.0,S1,Female,45.0,115350.17,6.0,2.0,1.0,1.0,112954.28,0
220,522.0,S0,Male,47.0,62397.41,7.0,2.0,0.0,0.0,130664.39,0
221,727.0,S2,Male,33.0,62397.41,5.0,2.0,0.0,1.0,67365.1,0
222,579.0,S1,Male,31.0,135252.76,5.0,2.0,1.0,0.0,100955.36,0
223,549.0,S0,Male,48.0,62397.41,4.0,2.0,1.0,0.0,90024.13,0
224,638.0,S0,Female,42.0,62397.41,5.0,1.0,1.0,1.0,136202.06,0
225,583.0,S0,Female,39.0,107694.73,2.0,1.0,1.0,0.0,115922.78,0
226,614.0,S0,Female,40.0,128016.46,2.0,1.0,1.0,1.0,77858.8,0
227,682.0,S0,Male,52.0,121975.24,3.0,1.0,1.0,1.0,107186.26,0
228,680.0,S0,Male,41.0,62397.41,5.0,2.0,1.0,0.0,126098.35,0
229,609.0,S0,Male,37.0,62397.41,5.0,2.0,1.0,1.0,123939.57,0
230,638.0,S2,Male,37.0,114382.16,4.0,2.0,0.0,1.0,73015.01,0
231,666.0,S0,Male,44.0,62397.41,2.0,1.0,1.0,0.0,112066.89,0
232,596.0,S0,Male,29.0,110562.5,4.0,1.0,1.0,0.0,133027.81,0
233,622.0,S0,Female,32.0,62397.41,6.0,2.0,0.0,1.0,74014.0,0
234,598.0,S0,Male,40.0,119801.52,6.0,1.0,1.0,1.0,89092.48,0
235,633.0,S1,Male,37.0,138086.88,5.0,2.0,1.0,1.0,102218.17,0
236,722.0,S0,Male,65.0,97789.4,6.0,1.0,1.0,1.0,73016.82,0
237,632.0,S2,Female,37.0,106749.15,3.0,2.0,1.0,1.0,98581.46,0
238,553.0,S2,Female,58.0,62397.41,5.0,2.0,0.0,1.0,128905.12,0
239,636.0,S1,Male,41.0,100691.32,3.0,2.0,1.0,1.0,120846.43,0
240,555.0,S0,Male,38.0,62397.41,2.0,1.0,1.0,0.0,104047.29,0
241,634.0,S1,Female,48.0,133534.23,5.0,1.0,1.0,0.0,79012.0,1
242,616.0,S0,Male,67.0,135943.84,2.0,1.0,0.0,1.0,76046.84,0
243,565.0,S0,Female,38.0,136409.82,5.0,1.0,1.0,0.0,105427.2,0
244,573.0,S0,Male,41.0,140237.29,5.0,2.0,1.0,1.0,71131.0,0
245,626.0,S2,Female,37.0,105624.82,5.0,1.0,1.0,1.0,88922.59,0
246,741.0,S0,Female,39.0,62397.41,3.0,2.0,0.0,0.0,127973.04,0
247,711.0,S0,Female,49.0,91095.77,2.0,1.0,1.0,0.0,93902.19,1
248,708.0,S0,Female,57.0,62397.41,4.0,1.0,1.0,1.0,84048.03,1
249,694.0,S0,Male,42.0,62397.41,3.0,2.0,1.0,0.0,134285.05,0
250,587.0,S0,Female,34.0,144062.47,7.0,1.0,1.0,1.0,65358.94,0
251,685.0,S0,Female,42.0,62397.41,5.0,2.0,1.0,1.0,69212.32,0
252,614.0,S1,Female,44.0,137769.44,4.0,2.0,1.0,0.0,101960.05,0
253,672.0,S2,Male,43.0,62397.41,5.0,2.0,0.0,1.0,84659.81,0
254,664.0,S1,Male,47.0,115641.12,4.0,1.0,1.0,0.0,92551.04,0
255,553.0,S0,Male,47.0,121991.1,7.0,2.0,0.0,0.0,92403.84,0
256,647.0,S0,Male,62.0,62397.41,6.0,2.0,1.0,1.0,77534.36,0
257,603.0,S0,Male,41.0,127147.96,5.0,1.0,1.0,0.0,138486.84,0
258,633.0,S2,Female,39.0,117575.52,4.0,2.0,1.0,0.0,114460.31,0
259,609.0,S1,Female,39.0,131584.98,4.0,2.0,1.0,1.0,130444.18,0
260,677.0,S1,Female,37.0,103977.86,4.0,2.0,1.0,0.0,83097.84,0
261,688.0,S0,Male,40.0,108922.04,6.0,2.0,1.0,0.0,126137.24,0
262,604.0,S1,Male,59.0,145088.16,3.0,2.0,1.0,1.0,72720.81,0
263,630.0,S1,Male,71.0,96748.55,4.0,2.0,1.0,1.0,118085.23,0
264,660.0,S0,Male,49.0,140937.53,5.0,2.0,0.0,0.0,57965.64,0
265,542.0,S0,Female,40.0,62397.41,3.0,2.0,1.0,0.0,98995.97,0
266,587.0,S1,Female,51.0,121564.88,5.0,1.0,0.0,1.0,139148.76,1
267,605.0,S0,Male,38.0,121966.66,5.0,1.0,0.0,0.0,59138.12,0
268,670.0,S2,Male,42.0,111049.21,3.0,2.0,1.0,1.0,59452.16,0
269,753.0,S1,Female,41.0,147351.07,4.0,1.0,1.0,0.0,131539.2,0
270,595.0,S2,Female,42.0,106997.01,4.0,2.0,1.0,0.0,85989.95,0
271,500.0,S1,Male,40.0,126129.72,5.0,2.0,1.0,1.0,125973.09,0
272,677.0,S0,Female,36.0,136105.82,3.0,1.0,1.0,1.0,131221.14,0
273,652.0,S0,Male,38.0,62397.41,5.0,2.0,1.0,1.0,133603.16,0
274,753.0,S2,Female,42.0,62397.41,4.0,2.0,0.0,1.0,133716.8,0
275,609.0,S1,Female,47.0,124114.58,4.0,1.0,1.0,1.0,83858.11,0
276,703.0,S0,Male,36.0,62397.41,6.0,2.0,1.0,1.0,130713.12,0
277,713.0,S1,Female,39.0,126334.84,5.0,1.0,0.0,0.0,139070.24,0
278,652.0,S0,Male,37.0,62397.41,3.0,2.0,1.0,1.0,117372.59,0
279,528.0,S0,Female,36.0,127793.88,4.0,1.0,1.0,0.0,127198.54,0
280,647.0,S0,Female,37.0,62397.41,3.0,2.0,0.0,1.0,112936.13,0
281,743.0,S1,Female,64.0,127821.47,6.0,2.0,0.0,1.0,97074.95,0
282,645.0,S1,Male,46.0,105600.49,6.0,2.0,1.0,0.0,61237.64,0
283,711.0,S0,Female,29.0,62397.41,4.0,2.0,1.0,1.0,110323.64,0
284,626.0,S0,Male,39.0,62397.41,3.0,1.0,1.0,0.0,98480.49,0
285,707.0,S2,Male,34.0,62397.41,4.0,1.0,1.0,1.0,74853.72,0
286,667.0,S0,Female,41.0,120742.64,4.0,1.0,1.0,0.0,82413.47,0
287,684.0,S1,Male,46.0,110825.55,6.0,1.0,0.0,0.0,61854.69,0
288,560.0,S0,Male,37.0,114570.57,5.0,1.0,1.0,1.0,110924.03,0
289,623.0,S2,Male,39.0,132457.48,5.0,2.0,0.0,0.0,71940.51,0
290,487.0,S1,Female,33.0,111521.75,2.0,2.0,1.0,1.0,125713.91,0
291,587.0,S1,Female,45.0,131536.29,4.0,2.0,1.0,1.0,93808.84,0
292,638.0,S1,Male,35.0,124557.03,6.0,2.0,1.0,1.0,94896.8,0
293,571.0,S0,Female,34.0,62397.41,4.0,2.0,0.0,0.0,125406.68,0
294,703.0,S1,Female,46.0,127366.5,3.0,2.0,0.0,0.0,65652.9,0
295,622.0,S2,Female,44.0,62397.41,5.0,2.0,1.0,1.0,134672.63,0
296,720.0,S1,Female,44.0,112530.47,3.0,1.0,1.0,0.0,132936.56,0
297,666.0,S0,Female,44.0,128525.3,6.0,1.0,1.0,1.0,101688.03,0
298,738.0,S2,Female,36.0,127705.26,4.0,1.0,0.0,1.0,138321.97,0
299,712.0,S0,Male,44.0,62397.41,5.0,2.0,1.0,0.0,104140.19,0
300,688.0,S0,Male,36.0,62397.41,3.0,1.0,0.0,0.0,92533.74,0
301,693.0,S2,Male,41.0,62397.41,3.0,2.0,1.0,1.0,76877.48,0
302,531.0,S2,Female,43.0,133040.64,6.0,1.0,0.0,0.0,62802.35,0
303,613.0,S0,Male,37.0,115804.82,5.0,1.0,1.0,1.0,58612.57,0
304,564.0,S0,Male,38.0,116614.55,5.0,1.0,1.0,0.0,110750.74,0
305,582.0,S0,Male,47.0,62397.41,6.0,2.0,0.0,0.0,73845.18,0
306,721.0,S1,Female,43.0,122603.64,5.0,1.0,1.0,1.0,127296.44,0
307,611.0,S2,Male,42.0,110719.84,4.0,1.0,0.0,0.0,99574.17,0
308,729.0,S0,Male,37.0,62397.41,5.0,2.0,1.0,1.0,134239.6,0
309,647.0,S2,Female,39.0,148681.0,7.0,1.0,1.0,1.0,79089.59,0
310,641.0,S0,Female,49.0,62397.41,3.0,2.0,1.0,1.0,120651.96,0
311,663.0,S1,Female,34.0,111316.8,3.0,1.0,1.0,0.0,84586.9,0
312,644.0,S1,Male,41.0,99132.02,5.0,2.0,0.0,0.0,140846.26,0
313,699.0,S0,Female,32.0,62397.41,3.0,2.0,1.0,0.0,122935.73,0
314,636.0,S0,Male,40.0,62397.41,5.0,2.0,1.0,1.0,82531.36,0
